ISO 639-2 Code,ISO 639-1 Code,English name of Language,French name of Language,German name of Language
din,,Dinka,dinka,Dinka-Sprache
div,dv,Divehi; Dhivehi; Maldivian,maldivien,Maledivisch
doi,,Dogri,dogri,Dogri
dra,,Dravidian languages,"dravidiennes, langues",Drawidische Sprachen (Andere)
dsb,,Lower Sorbian,bas-sorabe,Niedersorbisch
dua,,Duala,douala,Duala-Sprachen
dum,,"Dutch, Middle (ca.1050-1350)",n¨¦erlandais moyen (ca. 1050-1350),Mittelniederl?ndisch
dut (B),nl,Dutch; Flemish,n¨¦erlandais; flamand,Niederl?ndisch
nld (T),,,,
dyu,,Dyula,dioula,Dyula-Sprache
dzo,dz,Dzongkha,dzongkha,Dzongkha
efi,,Efik,efik,Efik
egy,,Egyptian (Ancient),¨¦gyptien,?gyptisch
eka,,Ekajuk,ekajuk,Ekajuk
gre (B),el,"Greek, Modern (1453-)",grec moderne (apr¨¨s 1453),Neugriechisch
ell (T),,,,
elx,,Elamite,¨¦lamite,Elamisch
eng,en,English,anglais,Englisch
enm,,"English, Middle (1100-1500)",anglais moyen (1100-1500),Mittelenglisch
epo,eo,Esperanto,esp¨¦ranto,Esperanto
est,et,Estonian,estonien,Estnisch
baq (B),eu,Basque,basque,Baskisch
eus (T),,,,
ewe,ee,Ewe,¨¦w¨¦,Ewe-Sprache
ewo,,Ewondo,¨¦wondo,Ewondo
fan,,Fang,fang,Pangwe-Sprache
fao,fo,Faroese,f¨¦ro?en,F?r?isch
per (B),fa,Persian,persan,Persisch
fas (T),,,,
fat,,Fanti,fanti,Fante-Sprache
fij,fj,Fijian,fidjien,Fidschi-Sprache
fil,,Filipino; Pilipino,filipino; pilipino,Pilipino
fin,fi,Finnish,finnois,Finnisch
fiu,,Finno-Ugrian languages,"finno-ougriennes, langues",Finnougrische Sprachen (Andere)
fon,,Fon,fon,Fon-Sprache
fre (B),fr,French,fran?ais,Franz?sisch
fra (T),,,,
fre (B),fr,French,fran?ais,Franz?sisch
fra (T),,,,
frm,,"French, Middle (ca.1400-1600)",fran?ais moyen (1400-1600),Mittelfranz?sisch
fro,,"French, Old (842-ca.1400)",fran?ais ancien (842-ca.1400),Altfranz?sisch
frr,,Northern Frisian,frison septentrional,Nordfriesisch
frs,,Eastern Frisian,frison oriental,Ostfriesisch
fry,fy,Western Frisian,frison occidental,Friesisch
ful,ff,Fulah,peul,Ful
fur,,Friulian,frioulan,Friulisch
gaa,,Ga,ga,Ga-Sprache
gay,,Gayo,gayo,Gayo-Sprache
gba,,Gbaya,gbaya,Gbaya-Sprache
gem,,Germanic languages,"germaniques, langues",Germanische Sprachen (Andere)
geo (B),ka,Georgian,g¨¦orgien,Georgisch
kat (T),,,,
ger (B),de,German,allemand,Deutsch
deu (T),,,,
gez,,Geez,gu¨¨ze,Alt?thiopisch
gil,,Gilbertese,kiribati,Gilbertesisch
gla,gd,Gaelic; Scottish Gaelic,ga¨¦lique; ga¨¦lique ¨¦cossais,G?lisch-Schottisch
gle,ga,Irish,irlandais,Irisch
glg,gl,Galician,galicien,Galicisch
glv,gv,Manx,manx; mannois,Manx
gmh,,"German, Middle High (ca.1050-1500)","allemand, moyen haut (ca. 1050-1500)",Mittelhochdeutsch
goh,,"German, Old High (ca.750-1050)","allemand, vieux haut (ca. 750-1050)",Althochdeutsch
gon,,Gondi,gond,Gondi-Sprache
gor,,Gorontalo,gorontalo,Gorontalesisch
got,,Gothic,gothique,Gotisch
grb,,Grebo,grebo,Grebo-Sprache
grc,,"Greek, Ancient (to 1453)",grec ancien (jusqu'¨¤ 1453),Griechisch
gre (B),el,"Greek, Modern (1453-)",grec moderne (apr¨¨s 1453),Neugriechisch
ell (T),,,,
grn,gn,Guarani,guarani,Guaran¨ª-Sprache
gsw,,Swiss German; Alemannic; Alsatian,suisse al¨¦manique; al¨¦manique; alsacien,Schweizerdeutsch
guj,gu,Gujarati,goudjrati,Gujarati-Sprache
gwi,,Gwich'in,gwich'in,Kutchin-Sprache
hai,,Haida,haida,Haida-Sprache
hat,ht,Haitian; Haitian Creole,ha?tien; cr¨¦ole ha?tien,Ha?tien (Haiti-Kreolisch)
hau,ha,Hausa,haoussa,Haussa-Sprache
haw,,Hawaiian,hawa?en,Hawaiisch
heb,he,Hebrew,h¨¦breu,Hebr?isch
her,hz,Herero,herero,Herero-Sprache
hil,,Hiligaynon,hiligaynon,Hiligaynon-Sprache
him,,Himachali languages; Western Pahari languages,langues himachalis; langues paharis occidentales,Himachali
hin,hi,Hindi,hindi,Hindi
hit,,Hittite,hittite,Hethitisch
hmn,,Hmong; Mong,hmong,Miao-Sprachen
hmo,ho,Hiri Motu,hiri motu,Hiri-Motu
hrv,hr,Croatian,croate,Kroatisch
hsb,,Upper Sorbian,haut-sorabe,Obersorbisch
hun,hu,Hungarian,hongrois,Ungarisch
hup,,Hupa,hupa,Hupa-Sprache
arm (B),hy,Armenian,arm¨¦nien,Armenisch
hye (T),,,,
iba,,Iban,iban,Iban-Sprache
ibo,ig,Igbo,igbo,Ibo-Sprache
ice (B),is,Icelandic,islandais,Isl?ndisch
isl (T),,,,
ido,io,Ido,ido,Ido
iii,ii,Sichuan Yi; Nuosu,yi de Sichuan,Lalo-Sprache
ijo,,Ijo languages,"ijo, langues",Ijo-Sprache
iku,iu,Inuktitut,inuktitut,Inuktitut
ile,ie,Interlingue; Occidental,interlingue,Interlingue
ilo,,Iloko,ilocano,Ilokano-Sprache
ina,ia,Interlingua (International Auxiliary Language Association),interlingua (langue auxiliaire internationale),Interlingua
inc,,Indic languages,"indo-aryennes, langues",Indoarische Sprachen (Andere)
ind,id,Indonesian,indon¨¦sien,Bahasa Indonesia
ine,,Indo-European languages,"indo-europ¨¦ennes, langues",Indogermanische Sprachen (Andere)
inh,,Ingush,ingouche,Inguschisch
ipk,ik,Inupiaq,inupiaq,Inupik
ira,,Iranian languages,"iraniennes, langues",Iranische Sprachen (Andere)
iro,,Iroquoian languages,"iroquoises, langues",Irokesische Sprachen
ice (B),is,Icelandic,islandais,Isl?ndisch
isl (T),,,,
ita,it,Italian,italien,Italienisch
jav,jv,Javanese,javanais,Javanisch
jbo,,Lojban,lojban,Lojban
jpn,ja,Japanese,japonais,Japanisch
jpr,,Judeo-Persian,jud¨¦o-persan,J¨¹disch-Persisch
jrb,,Judeo-Arabic,jud¨¦o-arabe,J¨¹disch-Arabisch
kaa,,Kara-Kalpak,karakalpak,Karakalpakisch
kab,,Kabyle,kabyle,Kabylisch
kac,,Kachin; Jingpho,kachin; jingpho,Kachin-Sprache
kal,kl,Kalaallisut; Greenlandic,groenlandais,Gr?nl?ndisch
kam,,Kamba,kamba,Kamba-Sprache
kan,kn,Kannada,kannada,Kannada
kar,,Karen languages,"karen, langues",Karenisch
kas,ks,Kashmiri,kashmiri,Kaschmiri
geo (B),ka,Georgian,g¨¦orgien,Georgisch
kat (T),,,,
kau,kr,Kanuri,kanouri,Kanuri-Sprache
kaw,,Kawi,kawi,Kawi
kaz,kk,Kazakh,kazakh,Kasachisch
kbd,,Kabardian,kabardien,Kabardinisch
kha,,Khasi,khasi,Khasi-Sprache
khi,,Khoisan languages,"kho?san, langues",Khoisan-Sprachen (Andere)
khm,km,Central Khmer,khmer central,Kambodschanisch
kho,,Khotanese; Sakan,khotanais; sakan,Sakisch
kik,ki,Kikuyu; Gikuyu,kikuyu,Kikuyu-Sprache
kin,rw,Kinyarwanda,rwanda,Rwanda-Sprache
kir,ky,Kirghiz; Kyrgyz,kirghiz,Kirgisisch
kmb,,Kimbundu,kimbundu,Kimbundu-Sprache
kok,,Konkani,konkani,Konkani
kom,kv,Komi,kom,Komi-Sprache
kon,kg,Kongo,kongo,Kongo-Sprache
kor,ko,Korean,cor¨¦en,Koreanisch
kos,,Kosraean,kosrae,Kosraeanisch
kpe,,Kpelle,kpell¨¦,Kpelle-Sprache
krc,,Karachay-Balkar,karatchai balkar,Karatschaiisch-Balkarisch
krl,,Karelian,car¨¦lien,Karelisch
kro,,Kru languages,"krou, langues",Kru-Sprachen (Andere)
kru,,Kurukh,kurukh,Oraon-Sprache
kua,kj,Kuanyama; Kwanyama,kuanyama; kwanyama,Kwanyama-Sprache
kum,,Kumyk,koumyk,Kum¨¹kisch
kur,ku,Kurdish,kurde,Kurdisch
kut,,Kutenai,kutenai,Kutenai-Sprache
lad,,Ladino,jud¨¦o-espagnol,Judenspanisch
lah,,Lahnda,lahnda,Lahnda
lam,,Lamba,lamba,Lamba-Sprache (Bantusprache)
lao,lo,Lao,lao,Laotisch
lat,la,Latin,latin,Latein
lav,lv,Latvian,letton,Lettisch
lez,,Lezghian,lezghien,Lesgisch
lim,li,Limburgan; Limburger; Limburgish,limbourgeois,Limburgisch
lin,ln,Lingala,lingala,Lingala
lit,lt,Lithuanian,lituanien,Litauisch
lol,,Mongo,mongo,Mongo-Sprache
loz,,Lozi,lozi,Rotse-Sprache
ltz,lb,Luxembourgish; Letzeburgesch,luxembourgeois,Luxemburgisch
lua,,Luba-Lulua,luba-lulua,Lulua-Sprache
lub,lu,Luba-Katanga,luba-katanga,Luba-Katanga-Sprache
lug,lg,Ganda,ganda,Ganda-Sprache
lui,,Luiseno,luiseno,Luise?o-Sprache
lun,,Lunda,lunda,Lunda-Sprache
luo,,Luo (Kenya and Tanzania),luo (Kenya et Tanzanie),Luo-Sprache
lus,,Lushai,lushai,Lushai-Sprache
mac (B),mk,Macedonian,mac¨¦donien,Makedonisch
mkd (T),,,,
mad,,Madurese,madourais,Maduresisch
mag,,Magahi,magahi,Khotta
mah,mh,Marshallese,marshall,Marschallesisch
mai,,Maithili,maithili,Maithili
mak,,Makasar,makassar,Makassarisch
mal,ml,Malayalam,malayalam,Malayalam
man,,Mandingo,mandingue,Malinke-Sprache
mao (B),mi,Maori,maori,Maori-Sprache
mri (T),,,,
map,,Austronesian languages,"austron¨¦siennes, langues",Austronesische Sprachen (Andere)
mar,mr,Marathi,marathe,Marathi
mas,,Masai,massa?,Massai-Sprache
may (B),ms,Malay,malais,Malaiisch
msa (T),,,,
mdf,,Moksha,moksa,Mokscha-Sprache
mdr,,Mandar,mandar,Mandaresisch
men,,Mende,mend¨¦,Mende-Sprache
mga,,"Irish, Middle (900-1200)",irlandais moyen (900-1200),Mittelirisch
mic,,Mi'kmaq; Micmac,mi'kmaq; micmac,Micmac-Sprache
min,,Minangkabau,minangkabau,Minangkabau-Sprache
mis,,Uncoded languages,langues non cod¨¦es,Einzelne andere Sprachen
mac (B),mk,Macedonian,mac¨¦donien,Makedonisch
mkd (T),,,,
mkh,,Mon-Khmer languages,"m?n-khmer, langues",Mon-Khmer-Sprachen (Andere)
mlg,mg,Malagasy,malgache,Malagassi-Sprache
mlt,mt,Maltese,maltais,Maltesisch
mnc,,Manchu,mandchou,Mandschurisch
mni,,Manipuri,manipuri,Meithei-Sprache
mno,,Manobo languages,"manobo, langues",Manobo-Sprachen
moh,,Mohawk,mohawk,Mohawk-Sprache
mon,mn,Mongolian,mongol,Mongolisch
mos,,Mossi,mor¨¦,Mossi-Sprache
mao (B),mi,Maori,maori,Maori-Sprache
mri (T),,,,
may (B),ms,Malay,malais,Malaiisch
msa (T),,,,
mul,,Multiple languages,multilingue,Mehrere Sprachen
mun,,Munda languages,"mounda, langues",Mundasprachen (Andere)
mus,,Creek,muskogee,Muskogisch
mwl,,Mirandese,mirandais,Mirandesisch
mwr,,Marwari,marvari,Marwari
bur (B),my,Burmese,birman,Birmanisch
mya (T),,,,
myn,,Mayan languages,"maya, langues",Maya-Sprachen
myv,,Erzya,erza,Erza-Mordwinisch
nah,,Nahuatl languages,"nahuatl, langues",Nahuatl
nai,,North American Indian languages,"nord-am¨¦rindiennes, langues","Indianersprachen, Nordamerika (Andere)"
nap,,Neapolitan,napolitain,Neapel / Mundart
nau,na,Nauru,nauruan,Nauruanisch
nav,nv,Navajo; Navaho,navaho,Navajo-Sprache
nbl,nr,"Ndebele, South; South Ndebele",nd¨¦b¨¦l¨¦ du Sud,Ndebele-Sprache (Transvaal)
nde,nd,"Ndebele, North; North Ndebele",nd¨¦b¨¦l¨¦ du Nord,Ndebele-Sprache (Simbabwe)
ndo,ng,Ndonga,ndonga,Ndonga
nds,,"Low German; Low Saxon; German, Low; Saxon, Low","bas allemand; bas saxon; allemand, bas; saxon, bas",Niederdeutsch
nep,ne,Nepali,n¨¦palais,Nepali
new,,Nepal Bhasa; Newari,nepal bhasa; newari,Newari
nia,,Nias,nias,Nias-Sprache
nic,,Niger-Kordofanian languages,"nig¨¦ro-kordofaniennes, langues",Nigerkordofanische Sprachen (Andere)
niu,,Niuean,niu¨¦,Niue-Sprache
dut (B),nl,Dutch; Flemish,n¨¦erlandais; flamand,Niederl?ndisch
nld (T),,,,
nno,nn,"Norwegian Nynorsk; Nynorsk, Norwegian","norv¨¦gien nynorsk; nynorsk, norv¨¦gien",Nynorsk
nob,nb,"Bokm?l, Norwegian; Norwegian Bokm?l",norv¨¦gien bokm?l,Bokm?l
nog,,Nogai,noga?; nogay,Nogaisch
non,,"Norse, Old","norrois, vieux",Altnorwegisch
nor,no,Norwegian,norv¨¦gien,Norwegisch
nqo,,N'Ko,n'ko,N'Ko
nso,,Pedi; Sepedi; Northern Sotho,pedi; sepedi; sotho du Nord,Pedi-Sprache
nub,,Nubian languages,"nubiennes, langues",Nubische Sprachen
nwc,,Classical Newari; Old Newari; Classical Nepal Bhasa,newari classique,Alt-Newari
nya,ny,Chichewa; Chewa; Nyanja,chichewa; chewa; nyanja,Nyanja-Sprache
nym,,Nyamwezi,nyamwezi,Nyamwezi-Sprache
nyn,,Nyankole,nyankol¨¦,Nkole-Sprache
nyo,,Nyoro,nyoro,Nyoro-Sprache
nzi,,Nzima,nzema,Nzima-Sprache
oci,oc,Occitan (post 1500),occitan (apr¨¨s 1500),Okzitanisch
oji,oj,Ojibwa,ojibwa,Ojibwa-Sprache
ori,or,Oriya,oriya,Oriya-Sprache
orm,om,Oromo,galla,Galla-Sprache
osa,,Osage,osage,Osage-Sprache
oss,os,Ossetian; Ossetic,oss¨¨te,Ossetisch
ota,,"Turkish, Ottoman (1500-1928)",turc ottoman (1500-1928),Osmanisch
oto,,Otomian languages,"otomi, langues",Otomangue-Sprachen
paa,,Papuan languages,"papoues, langues",Papuasprachen (Andere)
pag,,Pangasinan,pangasinan,Pangasinan-Sprache
pal,,Pahlavi,pahlavi,Mittelpersisch
pam,,Pampanga; Kapampangan,pampangan,Pampanggan-Sprache
pan,pa,Panjabi; Punjabi,pendjabi,Pandschabi-Sprache
pap,,Papiamento,papiamento,Papiamento
pau,,Palauan,palau,Palau-Sprache
peo,,"Persian, Old (ca.600-400 B.C.)","perse, vieux (ca. 600-400 av. J.-C.)",Altpersisch
per (B),fa,Persian,persan,Persisch
fas (T),,,,
phi,,Philippine languages,"philippines, langues",Philippinisch-Austronesisch (Andere)
phn,,Phoenician,ph¨¦nicien,Ph?nikisch
pli,pi,Pali,pali,Pali
pol,pl,Polish,polonais,Polnisch
pon,,Pohnpeian,pohnpei,Ponapeanisch
por,pt,Portuguese,portugais,Portugiesisch
pra,,Prakrit languages,"pr?krit, langues",Prakrit
pro,,"Proven?al, Old (to 1500);Occitan, Old (to 1500)",proven?al ancien (jusqu'¨¤ 1500); occitan ancien (jusqu'¨¤ 1500),Altokzitanisch
pus,ps,Pushto; Pashto,pachto,Paschtu
qaa-qtz,,Reserved for local use,r¨¦serv¨¦e ¨¤ l'usage local,Reserviert f¨¹r lokale Verwendung
que,qu,Quechua,quechua,Quechua-Sprache
raj,,Rajasthani,rajasthani,Rajasthani
rap,,Rapanui,rapanui,Osterinsel-Sprache
rar,,Rarotongan; Cook Islands Maori,rarotonga; maori des ?les Cook,Rarotonganisch
roa,,Romance languages,"romanes, langues",Romanische Sprachen (Andere)
roh,rm,Romansh,romanche,R?toromanisch
rom,,Romany,tsigane,Romani (Sprache)
rum (B),ro,Romanian; Moldavian; Moldovan,roumain; moldave,Rum?nisch
ron (T),,,,
rum (B),ro,Romanian; Moldavian; Moldovan,roumain; moldave,Rum?nisch
ron (T),,,,
run,rn,Rundi,rundi,Rundi-Sprache
rup,,Aromanian; Arumanian; Macedo-Romanian,aroumain; mac¨¦do-roumain,Aromunisch
rus,ru,Russian,russe,Russisch
sad,,Sandawe,sandawe,Sandawe-Sprache
sag,sg,Sango,sango,Sango-Sprache
sah,,Yakut,iakoute,Jakutisch
sai,,South American Indian languages,"sud-am¨¦rindiennes, langues","Indianersprachen, S¨¹damerika (Andere)"
sal,,Salishan languages,"salishennes, langues",Salish-Sprache
sam,,Samaritan Aramaic,samaritain,Samaritanisch
san,sa,Sanskrit,sanskrit,Sanskrit
sas,,Sasak,sasak,Sasak
sat,,Santali,santal,Santali
scn,,Sicilian,sicilien,Sizilianisch
sco,,Scots,¨¦cossais,Schottisch
sel,,Selkup,selkoupe,Selkupisch
sem,,Semitic languages,"s¨¦mitiques, langues",Semitische Sprachen (Andere)
sga,,"Irish, Old (to 900)",irlandais ancien (jusqu'¨¤ 900),Altirisch
sgn,,Sign Languages,langues des signes,Zeichensprachen
shn,,Shan,chan,Schan-Sprache
sid,,Sidamo,sidamo,Sidamo-Sprache
sin,si,Sinhala; Sinhalese,singhalais,Singhalesisch
sio,,Siouan languages,"sioux, langues",Sioux-Sprachen (Andere)
sit,,Sino-Tibetan languages,"sino-tib¨¦taines, langues",Sinotibetische Sprachen (Andere)
sla,,Slavic languages,"slaves, langues",Slawische Sprachen (Andere)
slo (B),sk,Slovak,slovaque,Slowakisch
slk (T),,,,
slo (B),sk,Slovak,slovaque,Slowakisch
slk (T),,,,
slv,sl,Slovenian,slov¨¨ne,Slowenisch
sma,,Southern Sami,sami du Sud,S¨¹dsaamisch
sme,se,Northern Sami,sami du Nord,Nordsaamisch
smi,,Sami languages,"sames, langues",Saamisch
smj,,Lule Sami,sami de Lule,Lulesaamisch
smn,,Inari Sami,sami d'Inari,Inarisaamisch
smo,sm,Samoan,samoan,Samoanisch
sms,,Skolt Sami,sami skolt,Skoltsaamisch
sna,sn,Shona,shona,Schona-Sprache
snd,sd,Sindhi,sindhi,Sindhi-Sprache
snk,,Soninke,sonink¨¦,Soninke-Sprache
sog,,Sogdian,sogdien,Sogdisch
som,so,Somali,somali,Somali
son,,Songhai languages,"songhai, langues",Songhai-Sprache
sot,st,"Sotho, Southern",sotho du Sud,S¨¹d-Sotho-Sprache
spa,es,Spanish; Castilian,espagnol; castillan,Spanisch
alb (B),sq,Albanian,albanais,Albanisch
sqi (T),,,,
srd,sc,Sardinian,sarde,Sardisch
srn,,Sranan Tongo,sranan tongo,Sranantongo
srp,sr,Serbian,serbe,Serbisch
srr,,Serer,s¨¦r¨¨re,Serer-Sprache
ssa,,Nilo-Saharan languages,"nilo-sahariennes, langues",Nilosaharanische Sprachen (Andere)
ssw,ss,Swati,swati,Swasi-Sprache
suk,,Sukuma,sukuma,Sukuma-Sprache
sun,su,Sundanese,soundanais,Sundanesisch
sus,,Susu,soussou,Susu
sux,,Sumerian,sum¨¦rien,Sumerisch
swa,sw,Swahili,swahili,Swahili
swe,sv,Swedish,su¨¦dois,Schwedisch
syc,,Classical Syriac,syriaque classique,Syrisch
syr,,Syriac,syriaque,Neuostaram?isch
tah,ty,Tahitian,tahitien,Tahitisch
tai,,Tai languages,"tai, langues",Thaisprachen (Andere)
tam,ta,Tamil,tamoul,Tamil
tat,tt,Tatar,tatar,Tatarisch
tel,te,Telugu,t¨¦lougou,Telugu-Sprache
tem,,Timne,temne,Temne-Sprache
ter,,Tereno,tereno,Tereno-Sprache
tet,,Tetum,tetum,Tetum-Sprache
tgk,tg,Tajik,tadjik,Tadschikisch
tgl,tl,Tagalog,tagalog,Tagalog
tha,th,Thai,tha?,Thail?ndisch
tib (B),bo,Tibetan,tib¨¦tain,Tibetisch
bod (T),,,,
tig,,Tigre,tigr¨¦,Tigre-Sprache
tir,ti,Tigrinya,tigrigna,Tigrinja-Sprache
tiv,,Tiv,tiv,Tiv-Sprache
tkl,,Tokelau,tokelau,Tokelauanisch
tlh,,Klingon; tlhIngan-Hol,klingon,Klingonisch
tli,,Tlingit,tlingit,Tlingit-Sprache
tmh,,Tamashek,tamacheq,Tama?eq
tog,,Tonga (Nyasa),tonga (Nyasa),"Tonga (Bantusprache, Sambia)"
ton,to,Tonga (Tonga Islands),tongan (?les Tonga),Tongaisch
tpi,,Tok Pisin,tok pisin,Neumelanesisch
tsi,,Tsimshian,tsimshian,Tsimshian-Sprache
tsn,tn,Tswana,tswana,Tswana-Sprache
tso,ts,Tsonga,tsonga,Tsonga-Sprache
tuk,tk,Turkmen,turkm¨¨ne,Turkmenisch
tum,,Tumbuka,tumbuka,Tumbuka-Sprache
tup,,Tupi languages,"tupi, langues",Tupi-Sprache
tur,tr,Turkish,turc,T¨¹rkisch
tut,,Altaic languages,"alta?ques, langues",Altaische Sprachen (Andere)
